Unnamed: 0,Latitude,Longitude,Coordinates,District,PostCode
0,53.32255600000001,-6.287982,"53.322556, -6.287982",Kimmage C ED,Dublin 6
1,53.32255600000001,-6.280417,"53.322556, -6.280417",Kimmage C ED,Dublin 6
2,53.32255600000001,-6.272853,"53.322556, -6.272853",Rathmines West F ED,Dublin 6
3,53.32255600000001,-6.265288,"53.322556, -6.265288",Rathmines and Rathgar West ED,Dublin 6
4,53.32255600000001,-6.257723,"53.322556, -6.257723",Rathmines and Rathgar West ED,Dublin 6
5,53.32255600000001,-6.250158,"53.322556, -6.250158",Rathmines East D ED,Dublin 6
6,53.32255600000001,-6.242594,"53.322556, -6.242594",Rathmines East A ED,Dublin 6
7,53.32255600000001,-6.235029,"53.322556, -6.235029",Pembroke West B ED,Dublin 4
8,53.327363,-6.295547,"53.327363, -6.295547",Crumlin C ED,Dublin 12
9,53.327363,-6.287982,"53.327363, -6.287982",Crumlin C ED,Dublin 12
10,53.327363,-6.280417,"53.327363, -6.280417",Kimmage C ED,Dublin 12
11,53.327363,-6.272853,"53.327363, -6.272853",Rathmines West B ED,Dublin 6
12,53.327363,-6.265288,"53.327363, -6.265288",Rathmines West B ED,Dublin 6
13,53.327363,-6.257723,"53.327363, -6.257723",Rathmines West B ED,Dublin 6
14,53.327363,-6.250158,"53.327363, -6.250158",Rathmines East A ED,Dublin 6
15,53.327363,-6.242594,"53.327363, -6.242594",Pembroke West ED,Dublin 4
16,53.327363,-6.235029,"53.327363, -6.235029",Pembroke West B ED,Dublin 4
17,53.327363,-6.227464,"53.327363, -6.227464",Pembroke East E ED,Dublin 4
18,53.332170999999995,-6.295547,"53.332171, -6.295547",Crumlin C ED,Dublin 12
19,53.332170999999995,-6.287982,"53.332171, -6.287982",,Dublin 8
20,53.332170999999995,-6.280417,"53.332171, -6.280417",Merchants Quay E ED,Dublin 8
21,53.332170999999995,-6.272853,"53.332171, -6.272853",Wood Quay B ED,Dublin 8
22,53.332170999999995,-6.265288,"53.332171, -6.265288",Saint Kevin's,Dublin 2
23,53.332170999999995,-6.257723,"53.332171, -6.257723",Saint Kevin's,Dublin 2
24,53.332170999999995,-6.250158,"53.332171, -6.250158",Pembroke West C ED,Dublin 4
25,53.332170999999995,-6.242594,"53.332171, -6.242594",Pembroke West C ED,Dublin 4
26,53.332170999999995,-6.235029,"53.332171, -6.235029",Pembroke West B ED,Dublin 4
27,53.332170999999995,-6.227464,"53.332171, -6.227464",Pembroke East B ED,Dublin 4
28,53.336978,-6.295547,"53.336978, -6.295547",Ushers D ED,Dublin 8
29,53.336978,-6.287982,"53.336978, -6.287982",Ushers C ED,Dublin 8
30,53.336978,-6.280417,"53.336978, -6.280417",Merchants Quay C ED,Dublin 8
31,53.336978,-6.272853,"53.336978, -6.272853",Merchants Quay C ED,Dublin 8
32,53.336978,-6.265288,"53.336978, -6.265288",Royal Exchange B ED,Dublin 2
33,53.336978,-6.257723,"53.336978, -6.257723",Royal Exchange B ED,Dublin 2
34,53.336978,-6.250158,"53.336978, -6.250158",South Dock ED,Dublin 2
35,53.336978,-6.242594,"53.336978, -6.242594",South Dock ED,Dublin 2
36,53.336978,-6.235029,"53.336978, -6.235029",Pembroke West A ED,Dublin 4
37,53.336978,-6.227464,"53.336978, -6.227464",Pembroke West A ED,Dublin 4
38,53.341784999999994,-6.295547,"53.341785, -6.295547",Ushers F ED,Dublin 8
39,53.341784999999994,-6.287982,"53.341785, -6.287982",Ushers C ED,Dublin 8
40,53.341784999999994,-6.280417,"53.341785, -6.280417",Merchants Quay B ED,Dublin 8
41,53.341784999999994,-6.272853,"53.341785, -6.272853",Merchants Quay B ED,Dublin 8
42,53.341784999999994,-6.265288,"53.341785, -6.265288",Royal Exchange A ED,Dublin 2
43,53.341784999999994,-6.257723,"53.341785, -6.257723",,Dublin 2
44,53.341784999999994,-6.250158,"53.341785, -6.250158",Mansion House A ED,Dublin 2
45,53.341784999999994,-6.242594,"53.341785, -6.242594",South Dock ED,Dublin 2
46,53.341784999999994,-6.235029,"53.341785, -6.235029",Pembroke West A ED,Dublin 4
47,53.341784999999994,-6.227464,"53.341785, -6.227464",Pembroke East ED,Dublin 4
48,53.346592,-6.295547,"53.346592, -6.295547",Ushers A ED,Dublin 8
49,53.346592,-6.287982,"53.346592, -6.287982",Ushers B ED,Dublin 8
50,53.346592,-6.280417,"53.346592, -6.280417",Wood Quay A ED,Dublin 8
51,53.346592,-6.272853,"53.346592, -6.272853",Inns Quay C ED,Dublin 7
52,53.346592,-6.265288,"53.346592, -6.265288",North City ED,Dublin 1
53,53.346592,-6.257723,"53.346592, -6.257723",Mansion House A ED,Dublin 2
54,53.346592,-6.250158,"53.346592, -6.250158",Mansion House A ED,Dublin 2
55,53.346592,-6.242594,"53.346592, -6.242594",South Dock ED,Dublin 2
56,53.346592,-6.235029,"53.346592, -6.235029",North Dock B ED,Dublin 1
57,53.346592,-6.227464,"53.346592, -6.227464",North Dock B ED,Dublin 1
58,53.3514,-6.295547,"53.3514, -6.295547",Arran Quay D ED,Dublin 7
59,53.3514,-6.287982,"53.3514, -6.287982",Arran Quay E ED,Dublin 7
60,53.3514,-6.280417,"53.3514, -6.280417",Arran Quay B ED,Dublin 7
61,53.3514,-6.272853,"53.3514, -6.272853",Inns Quay C ED,Dublin 7
62,53.3514,-6.265288,"53.3514, -6.265288",Rotunda B ED,Dublin 1
63,53.3514,-6.257723,"53.3514, -6.257723",Rotunda A ED,Dublin 1
64,53.3514,-6.250158,"53.3514, -6.250158",Mountjoy A ED,Dublin 1
65,53.3514,-6.242594,"53.3514, -6.242594",North Dock C ED,Dublin 1
66,53.3514,-6.235029,"53.3514, -6.235029",North Dock B ED,Dublin 3
67,53.3514,-6.227464,"53.3514, -6.227464",North Dock B ED,Dublin 3
68,53.356207,-6.287982,"53.356207, -6.287982",Arran Quay E ED,Dublin 7
69,53.356207,-6.280417,"53.356207, -6.280417",Arran Quay B ED,Dublin 7
70,53.356207,-6.272853,"53.356207, -6.272853",Arran Quay A ED,Dublin 7
71,53.356207,-6.265288,"53.356207, -6.265288",Inns Quay B ED,Dublin 7
72,53.356207,-6.257723,"53.356207, -6.257723",Rotunda A ED,Dublin 1
73,53.356207,-6.250158,"53.356207, -6.250158",Mountjoy A ED,Dublin 1
74,53.356207,-6.242594,"53.356207, -6.242594",North Dock A ED,Dublin 3
75,53.356207,-6.235029,"53.356207, -6.235029",North Dock B ED,Dublin 3
