Name,Latitude,Longitude,Classification,Line
Broadstone - DIT Luas stop,53.3540809,-6.273524,Luas stop,Green
Dominick Luas stop,53.3513556,-6.265538,Luas stop,Green
Parnell Luas stop,53.3531053,-6.2605035,Luas stop,Green
O'Connell Upper Luas stop,53.3516119,-6.26103,Luas stop,Green
Marlborough Luas stop,53.3492152,-6.2577065,Luas stop,Green
O'Connell - GPO Luas stop,53.349349,-6.260721,Luas stop,Green
Westmoreland Luas stop,53.3463599,-6.2589757,Luas stop,Green
Trinity Luas stop,53.3452798,-6.2582537,Luas stop,Green
Dawson Luas stop,53.34209,-6.25803,Luas stop,Green
St. Stephen's Green Luas stop,53.3390767,-6.2612408,Luas stop,Green
Harcourt Luas stop,53.33336,-6.26267,Luas stop,Green
Charlemont Luas stop,53.330925,-6.2588345,Luas stop,Green
Ranelagh Luas stop,53.3261319,-6.2561964,Luas stop,Green
